,T_ALLT3_Pa_ref  ,T_ALLT3_Pb_ref  ,T_ALLT3_Pc_ref  ,T_ALLT3_Qa_ref  ,T_ALLT3_Qb_ref  ,T_ALLT3_Qc_ref  
1655,-332.6441,-258.83221,-266.54999,-249.83771,-106.8135,-167.2276
1656,-332.6441,-258.83221,-266.54999,-249.83771,-106.8135,-167.2276
1657,-379.79401,-254.8248,-258.40369,-282.55911,-105.3233,-160.92191
1658,-379.79401,-254.8248,-258.40369,-282.55911,-105.3233,-160.92191
1659,-379.79401,-254.8248,-258.40369,-282.55911,-105.3233,-160.92191
1660,-379.79401,-254.8248,-258.40369,-282.55911,-105.3233,-160.92191
1661,-416.74139,-251.7175,-250.39281,-308.19601,-104.174,-154.87421
1662,-416.74139,-251.7175,-250.39281,-308.19601,-104.174,-154.87421
1663,-416.74139,-251.7175,-250.39281,-308.19601,-104.174,-154.87421
1664,-416.74139,-251.7175,-250.39281,-308.19601,-104.174,-154.87421
1665,-416.74139,-251.7175,-250.39281,-308.19601,-104.174,-154.87421
1666,-444.4545,-249.4223,-242.914,-327.41629,-103.3305,-149.3084
1667,-444.4545,-249.4223,-242.914,-327.41629,-103.3305,-149.3084
1668,-444.4545,-249.4223,-242.914,-327.41629,-103.3305,-149.3084
1669,-444.4545,-249.4223,-242.914,-327.41629,-103.3305,-149.3084
1670,-463.9014,-247.85139,-236.3638,-340.88779,-102.7574,-144.44859
1671,-463.9014,-247.85139,-236.3638,-340.88779,-102.7574,-144.44859
1672,-463.9014,-247.85139,-236.3638,-340.88779,-102.7574,-144.44859
1673,-463.9014,-247.85139,-236.3638,-340.88779,-102.7574,-144.44859
1674,-476.0502,-246.91679,-231.13879,-349.27841,-102.4194,-140.51871
1675,-476.0502,-246.91679,-231.13879,-349.27841,-102.4194,-140.51871
1676,-476.0502,-246.91679,-231.13879,-349.27841,-102.4194,-140.51871
1677,-476.0502,-246.91679,-231.13879,-349.27841,-102.4194,-140.51871
1678,-481.86899,-246.53081,-227.63541,-353.25601,-102.2811,-137.7426
1679,-481.86899,-246.53081,-227.63541,-353.25601,-102.2811,-137.7426
1680,-481.86899,-246.53081,-227.63541,-353.25601,-102.2811,-137.7426
1681,-481.86899,-246.53081,-227.63541,-353.25601,-102.2811,-137.7426
1682,-476.48459,-253.1756,-225.4955,-349.4469,-105.148,-135.9868
1683,-476.48459,-253.1756,-225.4955,-349.4469,-105.148,-135.9868
1684,-476.48459,-253.1756,-225.4955,-349.4469,-105.148,-135.9868
1685,-476.48459,-253.1756,-225.4955,-349.4469,-105.148,-135.9868
1686,-447.2272,-282.4411,-222.7775,-329.08759,-117.7617,-134.29089
1687,-447.2272,-282.4411,-222.7775,-329.08759,-117.7617,-134.29089
1688,-447.2272,-282.4411,-222.7775,-329.08759,-117.7617,-134.29089
1689,-447.2272,-282.4411,-222.7775,-329.08759,-117.7617,-134.29089
1690,-402.62289,-326.44171,-219.6572,-298.0835,-136.71201,-132.6151
1691,-402.62289,-326.44171,-219.6572,-298.0835,-136.71201,-132.6151
1692,-402.62289,-326.44171,-219.6572,-298.0835,-136.71201,-132.6151
1693,-402.62289,-326.44171,-219.6572,-298.0835,-136.71201,-132.6151
1694,-352.5907,-375.7366,-216.4702,-263.30411,-157.9162,-130.9924
1695,-352.5907,-375.7366,-216.4702,-263.30411,-157.9162,-130.9924
