,T_ALLT4_Pa_ref  ,T_ALLT4_Pb_ref  ,T_ALLT4_Pc_ref  ,T_ALLT4_Qa_ref  ,T_ALLT4_Qb_ref  ,T_ALLT4_Qc_ref  
1655,-350.633,-401.3204,-277.12689,-154.92261,-214.3766,-213.68491
1656,-350.633,-401.3204,-277.12689,-154.92261,-214.3766,-213.68491
1657,-333.91879,-424.24689,-277.69821,-147.8745,-228.75301,-213.6205
1658,-333.91879,-424.24689,-277.69821,-147.8745,-228.75301,-213.6205
1659,-333.91879,-424.24689,-277.69821,-147.8745,-228.75301,-213.6205
1660,-333.91879,-424.24689,-277.69821,-147.8745,-228.75301,-213.6205
1661,-318.55981,-439.4494,-277.91171,-141.3669,-238.5282,-213.3895
1662,-318.55981,-439.4494,-277.91171,-141.3669,-238.5282,-213.3895
1663,-318.55981,-439.4494,-277.91171,-141.3669,-238.5282,-213.3895
1664,-318.55981,-439.4494,-277.91171,-141.3669,-238.5282,-213.3895
1665,-318.55981,-439.4494,-277.91171,-141.3669,-238.5282,-213.3895
1666,-304.7807,-448.5032,-277.8757,-135.49139,-244.5891,-213.06599
1667,-304.7807,-448.5032,-277.8757,-135.49139,-244.5891,-213.06599
1668,-304.7807,-448.5032,-277.8757,-135.49139,-244.5891,-213.06599
1669,-304.7807,-448.5032,-277.8757,-135.49139,-244.5891,-213.06599
1670,-292.80621,-452.9837,-277.69809,-130.33929,-247.8226,-212.724
1671,-292.80621,-452.9837,-277.69809,-130.33929,-247.8226,-212.724
1672,-292.80621,-452.9837,-277.69809,-130.33929,-247.8226,-212.724
1673,-292.80621,-452.9837,-277.69809,-130.33929,-247.8226,-212.724
1674,-282.86069,-454.46609,-277.487,-126.0019,-249.1156,-212.43739
1675,-282.86069,-454.46609,-277.487,-126.0019,-249.1156,-212.43739
1676,-282.86069,-454.46609,-277.487,-126.0019,-249.1156,-212.43739
1677,-282.86069,-454.46609,-277.487,-126.0019,-249.1156,-212.43739
1678,-275.16891,-454.5257,-277.35059,-122.5706,-249.3551,-212.2802
1679,-275.16891,-454.5257,-277.35059,-122.5706,-249.3551,-212.2802
1680,-275.16891,-454.5257,-277.35059,-122.5706,-249.3551,-212.2802
1681,-275.16891,-454.5257,-277.35059,-122.5706,-249.3551,-212.2802
1682,-269.90021,-448.47711,-278.9772,-120.1024,-245.8019,-213.8268
1683,-269.90021,-448.47711,-278.9772,-120.1024,-245.8019,-213.8268
1684,-269.90021,-448.47711,-278.9772,-120.1024,-245.8019,-213.8268
1685,-269.90021,-448.47711,-278.9772,-120.1024,-245.8019,-213.8268
1686,-266.69351,-422.13821,-286.11819,-118.4263,-230.2704,-220.6358
1687,-266.69351,-422.13821,-286.11819,-118.4263,-230.2704,-220.6358
1688,-266.69351,-422.13821,-286.11819,-118.4263,-230.2704,-220.6358
1689,-266.69351,-422.13821,-286.11819,-118.4263,-230.2704,-220.6358
1690,-264.8942,-382.81281,-296.741,-117.3005,-207.0778,-230.80099
1691,-264.8942,-382.81281,-296.741,-117.3005,-207.0778,-230.80099
1692,-264.8942,-382.81281,-296.741,-117.3005,-207.0778,-230.80099
1693,-264.8942,-382.81281,-296.741,-117.3005,-207.0778,-230.80099
1694,-263.84509,-339.25809,-308.43411,-116.4851,-181.3848,-242.0573
1695,-263.84509,-339.25809,-308.43411,-116.4851,-181.3848,-242.0573
1696,-263.84509,-339.25809,-308.43411,-116.4851,-181.3848,-242.0573
1697,-263.84509,-339.25809,-308.43411,-116.4851,-181.3848,-242.0573
1698,-262.8887,-300.23099,-318.78641,-115.7399,-158.35201,-252.14
1699,-262.8887,-300.23099,-318.78641,-115.7399,-158.35201,-252.14
1700,-262.8887,-300.23099,-318.78641,-115.7399,-158.35201,-252.14
1701,-262.8887,-300.23099,-318.78641,-115.7399,-158.35201,-252.14
1702,-261.3678,-274.48831,-325.3866,-114.825,-143.1402,-258.78421
1703,-261.3678,-274.48831,-325.3866,-114.825,-143.1402,-258.78421
1704,-261.3678,-274.48831,-325.3866,-114.825,-143.1402,-258.78421
1705,-261.3678,-274.48831,-325.3866,-114.825,-143.1402,-258.78421
1706,-258.57349,-268.85779,-326.14569,-113.4672,-139.7749,-260.07541
1707,-258.57349,-268.85779,-326.14569,-113.4672,-139.7749,-260.07541
1708,-258.57349,-268.85779,-326.14569,-113.4672,-139.7749,-260.07541
1709,-258.57349,-268.85779,-326.14569,-113.4672,-139.7749,-260.07541
1710,-253.78799,-268.55139,-323.15829,-111.2708,-139.56219,-258.40948
1711,-253.78799,-268.55139,-323.15829,-111.2708,-139.56219,-258.40948
1712,-253.78799,-268.55139,-323.15829,-111.2708,-139.56219,-258.40948
1713,-253.78799,-268.55139,-323.15829,-111.2708,-139.56219,-258.40948
1714,-247.68201,-268.53519,-318.03189,-108.5023,-139.5356,-255.1774
1715,-247.68201,-268.53519,-318.03189,-108.5023,-139.5356,-255.1774
1716,-247.68201,-268.53519,-318.03189,-108.5023,-139.5356,-255.1774
1717,-247.68201,-268.53519,-318.03189,-108.5023,-139.5356,-255.1774
1718,-241.1825,-268.8667,-311.64581,-105.5682,-139.7231,-250.9267
1719,-241.1825,-268.8667,-311.64581,-105.5682,-139.7231,-250.9267
1720,-241.1825,-268.8667,-311.64581,-105.5682,-139.7231,-250.9267
1721,-235.2166,-268.8667,-311.64581,-105.5682,-139.7231,-250.9267
1722,-235.2166,-269.60379,-304.87909,-102.8751,-140.1523,-246.2054
1723,-235.2166,-269.60379,-304.87909,-102.8751,-140.1523,-246.2054
1724,-235.2166,-269.60379,-304.87909,-102.8751,-140.1523,-246.2054
1725,-235.2166,-269.60379,-304.87909,-102.8751,-140.1523,-246.2054
1726,-230.7114,-270.8042,-298.61121,-100.8298,-140.8513,-241.56129
1727,-230.7114,-270.8042,-298.61121,-100.8298,-140.8513,-241.56129
1728,-230.7114,-270.8042,-298.61121,-100.8298,-140.8513,-241.56129
1729,-230.7114,-270.8042,-298.61121,-100.8298,-140.8513,-241.56129
1730,-228.59351,-272.52551,-293.74841,-99.8383,-141.84801,-237.556
1731,-228.59351,-272.52551,-293.74841,-99.8383,-141.84801,-237.556
1732,-228.59351,-272.52551,-293.74841,-99.8383,-141.84801,-237.556
1733,-229.2175,-274.76999,-300.49469,-100.0049,-143.2112,-239.47099
1734,-229.2175,-274.76999,-300.49469,-100.0049,-143.2112,-239.47099
1735,-229.2175,-274.76999,-300.49469,-100.0049,-143.2112,-239.47099
1736,-229.2175,-274.76999,-300.49469,-100.0049,-143.2112,-239.47099
1737,-231.8331,-277.35049,-321.9928,-100.9812,-144.8604,-248.9664
1738,-231.8331,-277.35049,-321.9928,-100.9812,-144.8604,-248.9664
1739,-231.8331,-277.35049,-321.9928,-100.9812,-144.8604,-248.9664
1740,-231.8331,-277.35049,-321.9928,-100.9812,-144.8604,-248.9664
1741,-235.6375,-280.03949,-351.47971,-102.4473,-146.621,-262.65851
1742,-235.6375,-280.03949,-351.47971,-102.4473,-146.621,-262.65851
1743,-235.6375,-280.03949,-351.47971,-102.4473,-146.621,-262.65851
1744,-235.6375,-280.03949,-351.47971,-102.4473,-146.621,-262.65851
1745,-235.6375,-280.03949,-351.47971,-102.4473,-146.621,-262.65851
1746,-239.8279,-282.60959,-382.19281,-104.0832,-148.3185,-277.16339
1747,-239.8279,-282.60959,-382.19281,-104.0832,-148.3185,-277.16339
1748,-239.8279,-282.60959,-382.19281,-104.0832,-148.3185,-277.16339
1749,-239.8279,-282.60959,-382.19281,-104.0832,-148.3185,-277.16339
1750,-243.6015,-284.83331,-407.36929,-105.5692,-149.77831,-289.09741
1751,-243.6015,-284.83331,-407.36929,-105.5692,-149.77831,-289.09741
1752,-243.6015,-284.83331,-407.36929,-105.5692,-149.77831,-289.09741
1753,-243.6015,-284.83331,-407.36929,-105.5692,-149.77831,-289.09741
1754,-246.1554,-286.483,-420.2464,-106.5853,-150.82581,-295.07669
1755,-246.1554,-286.483,-420.2464,-106.5853,-150.82581,-295.07669
1756,-246.1554,-286.483,-420.2464,-106.5853,-150.82581,-295.07669
1757,-246.1554,-286.483,-420.2464,-106.5853,-150.82581,-295.07669
1758,-247.81171,-292.5535,-413.38681,-107.3188,-154.32919,-290.75851
1759,-247.81171,-292.5535,-413.38681,-107.3188,-154.32919,-290.75851
1760,-247.81171,-292.5535,-413.38681,-107.3188,-154.32919,-290.75851
1761,-247.81171,-292.5535,-413.38681,-107.3188,-154.32919,-290.75851
1762,-250.74541,-313.0842,-385.94431,-108.7466,-166.1432,-274.4903
1763,-250.74541,-313.0842,-385.94431,-108.7466,-166.1432,-274.4903
1764,-250.74541,-313.0842,-385.94431,-108.7466,-166.1432,-274.4903
1765,-250.74541,-313.0842,-385.94431,-108.7466,-166.1432,-274.4903
1766,-254.49921,-342.4552,-346.09229,-110.6149,-183.04359,-250.98981
1767,-254.49921,-342.4552,-346.09229,-110.6149,-183.04359,-250.98981
1768,-254.49921,-342.4552,-346.09229,-110.6149,-183.04359,-250.98981
1769,-254.49921,-342.4552,-346.09229,-110.6149,-183.04359,-250.98981
1770,-258.4747,-374.31021,-302.26581,-112.6052,-201.3782,-225.1926
1771,-258.4747,-374.31021,-302.26581,-112.6052,-201.3782,-225.1926
1772,-258.4747,-374.31021,-302.26581,-112.6052,-201.3782,-225.1926
1773,-258.4747,-374.31021,-302.26581,-112.6052,-201.3782,-225.1926
1774,-262.07349,-402.2926,-262.89969,-114.3992,-217.4948,-202.0345
1775,-262.07349,-402.2926,-262.89969,-114.3992,-217.4948,-202.0345
1776,-262.07349,-402.2926,-262.89969,-114.3992,-217.4948,-202.0345
1777,-262.07349,-402.2926,-262.89969,-114.3992,-217.4948,-202.0345
1778,-264.6972,-420.04581,-236.42909,-115.6782,-227.741,-186.4514
1779,-264.6972,-420.04581,-236.42909,-115.6782,-227.741,-186.4514
1780,-264.6972,-420.04581,-236.42909,-115.6782,-227.741,-186.4514
1781,-264.6972,-420.04581,-236.42909,-115.6782,-227.741,-186.4514
1782,-265.90469,-421.6319,-228.9321,-116.2063,-228.69501,-181.9987
1783,-265.90469,-421.6319,-228.9321,-116.2063,-228.69501,-181.9987
1784,-265.90469,-421.6319,-228.9321,-116.2063,-228.69501,-181.9987
1785,-265.90469,-421.6319,-228.9321,-116.2063,-228.69501,-181.9987
1786,-266.66699,-408.17679,-226.17551,-116.4877,-220.9305,-180.3363
1787,-266.66699,-408.17679,-226.17551,-116.4877,-220.9305,-180.3363
1788,-266.66699,-408.17679,-226.17551,-116.4877,-220.9305,-180.3363
1789,-266.66699,-408.17679,-226.17551,-116.4877,-220.9305,-180.3363
1790,-267.38361,-385.255,-224.01961,-116.729,-207.6646,-179.0379
1791,-267.38361,-385.255,-224.01961,-116.729,-207.6646,-179.0379
1792,-267.38361,-385.255,-224.01961,-116.729,-207.6646,-179.0379
1793,-267.38361,-385.255,-224.01961,-116.729,-207.6646,-179.0379
1794,-268.19791,-358.30881,-222.29961,-117.003,-192.0593,-178.0056
1795,-268.19791,-358.30881,-222.29961,-117.003,-192.0593,-178.0056
1796,-268.19791,-358.30881,-222.29961,-117.003,-192.0593,-178.0056
1797,-268.19791,-358.30881,-222.29961,-117.003,-192.0593,-178.0056
1798,-269.25351,-332.78061,-220.8508,-117.3824,-177.2767,-177.1414
1799,-269.25351,-332.78061,-220.8508,-117.3824,-177.2767,-177.1414
1800,-269.25351,-332.78061,-220.8508,-117.3824,-177.2767,-177.1414
1801,-269.25351,-332.78061,-220.8508,-117.3824,-177.2767,-177.1414
1802,-270.69391,-314.11292,-219.50861,-117.94,-166.4789,-176.34731
1803,-270.69391,-314.11292,-219.50861,-117.94,-166.4789,-176.34731
1804,-270.69391,-314.11292,-219.50861,-117.94,-166.4789,-176.34731
1805,-270.69391,-314.11292,-219.50861,-117.94,-166.4789,-176.34731
1806,-272.68649,-307.6373,-218.1243,-118.7593,-162.7636,-175.5394
1807,-272.68649,-307.6373,-218.1243,-118.7593,-162.7636,-175.5394
1808,-272.68649,-307.6373,-218.1243,-118.7593,-162.7636,-175.5394
1809,-277.54181,-305.97971,-218.11391,-120.8934,-161.842,-175.9838
1810,-277.54181,-305.97971,-218.11391,-120.8934,-161.842,-175.9838
1811,-277.54181,-305.97971,-218.11391,-120.8934,-161.842,-175.9838
1812,-277.54181,-305.97971,-218.11391,-120.8934,-161.842,-175.9838
1813,-285.5235,-302.60599,-219.93069,-124.4611,-159.918,-178.0462
1814,-285.5235,-302.60599,-219.93069,-124.4611,-159.918,-178.0462
1815,-285.5235,-302.60599,-219.93069,-124.4611,-159.918,-178.0462
1816,-285.5235,-302.60599,-219.93069,-124.4611,-159.918,-178.0462
1817,-294.93771,-298.37589,-222.7973,-128.6926,-157.49561,-181.00439
1818,-294.93771,-298.37589,-222.7973,-128.6926,-157.49561,-181.00439
1819,-294.93771,-298.37589,-222.7973,-128.6926,-157.49561,-181.00439
1820,-294.93771,-298.37589,-222.7973,-128.6926,-157.49561,-181.00439
1821,-304.09109,-294.14899,-225.93629,-132.8183,-155.0789,-184.136
1822,-304.09109,-294.14899,-225.93629,-132.8183,-155.0789,-184.136
1823,-304.09109,-294.14899,-225.93629,-132.8183,-155.0789,-184.136
1824,-304.09109,-294.14899,-225.93629,-132.8183,-155.0789,-184.136
1825,-304.09109,-294.14899,-225.93629,-132.8183,-155.0789,-184.136
1826,-311.28989,-290.7851,-228.57021,-136.06841,-153.1718,-186.7189
1827,-311.28989,-290.7851,-228.57021,-136.06841,-153.1718,-186.7189
1828,-311.28989,-290.7851,-228.57021,-136.06841,-153.1718,-186.7189
1829,-311.28989,-290.7851,-228.57021,-136.06841,-153.1718,-186.7189
1830,-314.84061,-289.14371,-229.92149,-137.6731,-152.2785,-188.03081
1831,-314.84061,-289.14371,-229.92149,-137.6731,-152.2785,-188.03081
1832,-314.84061,-289.14371,-229.92149,-137.6731,-152.2785,-188.03081
1833,-314.84061,-289.14371,-229.92149,-137.6731,-152.2785,-188.03081
1834,-313.6553,-288.79901,-229.2877,-137.2415,-152.18179,-187.4066
1835,-313.6553,-288.79901,-229.2877,-137.2415,-152.18179,-187.4066
1836,-313.6553,-288.79901,-229.2877,-137.2415,-152.18179,-187.4066
1837,-313.6553,-288.79901,-229.2877,-137.2415,-152.18179,-187.4066
1838,-308.97198,-287.5712,-226.8591,-135.4976,-151.65421,-185.01939
1839,-308.97198,-287.5712,-226.8591,-135.4976,-151.65421,-185.01939
1840,-308.97198,-287.5712,-226.8591,-135.4976,-151.65421,-185.01939
1841,-308.97198,-287.5712,-226.8591,-135.4976,-151.65421,-185.01939
1842,-302.18439,-285.68741,-223.36501,-132.9707,-150.7952,-181.5887
1843,-302.18439,-285.68741,-223.36501,-132.9707,-150.7952,-181.5887
1844,-302.18439,-285.68741,-223.36501,-132.9707,-150.7952,-181.5887
1845,-302.18439,-285.68741,-223.36501,-132.9707,-150.7952,-181.5887
1846,-294.66559,-283.46179,-219.54089,-130.173,-149.75301,-177.8409
1847,-294.66559,-283.46179,-219.54089,-130.173,-149.75301,-177.8409
1848,-294.66559,-283.46179,-219.54089,-130.173,-149.75301,-177.8409
1849,-294.66559,-283.46179,-219.54089,-130.173,-149.75301,-177.8409
1850,-287.78879,-281.20889,-216.1221,-127.6165,-148.6758,-174.5022
1851,-287.78879,-281.20889,-216.1221,-127.6165,-148.6758,-174.5022
1852,-287.78879,-281.20889,-216.1221,-127.6165,-148.6758,-174.5022
1853,-287.78879,-281.20889,-216.1221,-127.6165,-148.6758,-174.5022
1854,-282.92719,-279.24289,-213.84399,-125.8132,-147.71181,-172.299
1855,-282.92719,-279.24289,-213.84399,-125.8132,-147.71181,-172.299
1856,-282.92719,-279.24289,-213.84399,-125.8132,-147.71181,-172.299
1857,-282.92719,-279.24289,-213.84399,-125.8132,-147.71181,-172.299
1858,-281.01019,-277.73029,-213.2831,-125.1091,-146.9133,-171.7702
1859,-281.01019,-277.73029,-213.2831,-125.1091,-146.9133,-171.7702
1860,-281.01019,-277.73029,-213.2831,-125.1091,-146.9133,-171.7702
1861,-281.01019,-277.73029,-213.2831,-125.1091,-146.9133,-171.7702
1862,-279.92679,-275.99371,-213.7856,-124.7131,-145.81461,-172.0937
1863,-279.92679,-275.99371,-213.7856,-124.7131,-145.81461,-172.0937
1864,-279.92679,-275.99371,-213.7856,-124.7131,-145.81461,-172.0937
1865,-279.92679,-275.99371,-213.7856,-124.7131,-145.81461,-172.0937
1866,-279.13449,-274.15601,-215.0271,-124.4208,-144.5157,-172.97951
1867,-279.13449,-274.15601,-215.0271,-124.4208,-144.5157,-172.97951
1868,-279.13449,-274.15601,-215.0271,-124.4208,-144.5157,-172.97951
1869,-279.13449,-274.15601,-215.0271,-124.4208,-144.5157,-172.97951
1870,-278.57251,-272.5228,-216.8376,-124.2083,-143.2382,-174.3309
1871,-278.57251,-272.5228,-216.8376,-124.2083,-143.2382,-174.3309
1872,-278.57251,-272.5228,-216.8376,-124.2083,-143.2382,-174.3309
1873,-278.57251,-272.5228,-216.8376,-124.2083,-143.2382,-174.3309
1874,-278.17981,-271.39911,-219.0473,-124.0516,-142.2039,-176.05141
1875,-278.17981,-271.39911,-219.0473,-124.0516,-142.2039,-176.05141
1876,-278.17981,-271.39911,-219.0473,-124.0516,-142.2039,-176.05141
1877,-278.17981,-271.39911,-219.0473,-124.0516,-142.2039,-176.05141
1878,-277.8956,-271.09052,-221.48599,-123.9267,-141.63451,-178.0442
1879,-277.8956,-271.09052,-221.48599,-123.9267,-141.63451,-178.0442
1880,-277.8956,-271.09052,-221.48599,-123.9267,-141.63451,-178.0442
1881,-277.8956,-271.09052,-221.48599,-123.9267,-141.63451,-178.0442
1882,-277.65369,-271.87451,-224.0401,-123.8069,-141.73399,-180.26041
1883,-277.65369,-271.87451,-224.0401,-123.8069,-141.73399,-180.26041
1884,-277.65369,-271.87451,-224.0401,-123.8069,-141.73399,-180.26041
1885,-277.65369,-271.87451,-224.0401,-123.8069,-141.73399,-180.26041
1886,-277.14621,-272.63431,-229.0779,-123.5532,-141.81081,-184.7457
1887,-277.14621,-272.63431,-229.0779,-123.5532,-141.81081,-184.7457
1888,-277.14621,-272.63431,-229.0779,-123.5532,-141.81081,-184.7457
1889,-277.14621,-272.63431,-229.0779,-123.5532,-141.81081,-184.7457
1890,-276.2963,-272.8168,-236.8037,-123.1324,-141.521,-191.62781
1891,-276.2963,-272.8168,-236.8037,-123.1324,-141.521,-191.62781
1892,-276.2963,-272.8168,-236.8037,-123.1324,-141.521,-191.62781
1893,-276.2963,-272.8168,-236.8037,-123.1324,-141.521,-191.62781
1894,-275.20419,-272.64569,-245.66299,-122.5942,-141.01579,-199.521
1895,-275.20419,-272.64569,-245.66299,-122.5942,-141.01579,-199.521
1896,-275.20419,-272.64569,-245.66299,-122.5942,-141.01579,-199.521
1897,-275.20419,-272.64569,-245.66299,-122.5942,-141.01579,-199.521
1898,-273.97021,-272.3447,-254.1011,-121.9879,-140.446,-207.0394
1899,-273.97021,-272.3447,-254.1011,-121.9879,-140.446,-207.0394
1900,-273.97021,-272.3447,-254.1011,-121.9879,-140.446,-207.0394
1901,-273.97021,-272.3447,-254.1011,-121.9879,-140.446,-207.0394
1902,-272.69479,-272.1376,-260.56329,-121.3632,-139.9626,-212.7972
