,T_ALLT6_Pa_ref  ,T_ALLT6_Pb_ref  ,T_ALLT6_Pc_ref  ,T_ALLT6_Qa_ref  ,T_ALLT6_Qb_ref  ,T_ALLT6_Qc_ref  
3994,-188.54849,-161.65419,-177.19241,-151.62813,-59.97415,-176.43907
3995,-177.54469,-159.88991,-177.92824,-142.77902,-59.3196,-177.17177
3996,-177.54469,-159.88991,-177.92824,-142.77902,-59.3196,-177.17177
3997,-177.54469,-159.88991,-177.92824,-142.77902,-59.3196,-177.17177
3998,-177.54469,-159.88991,-177.92824,-142.77902,-59.3196,-177.17177
3999,-168.31285,-158.58685,-178.48549,-135.3549,-58.83616,-177.72665
4000,-168.31285,-158.58685,-178.48549,-135.3549,-58.83616,-177.72665
4001,-168.31285,-158.58685,-178.48549,-135.3549,-58.83616,-177.72665
4002,-168.31285,-158.58685,-178.48549,-135.3549,-58.83616,-177.72665
4003,-163.09747,-157.91231,-178.7794,-131.16077,-58.5859,-178.01932
4004,-163.09747,-157.91231,-178.7794,-131.16077,-58.5859,-178.01932
4005,-163.09747,-157.91231,-178.7794,-131.16077,-58.5859,-178.01932
4006,-163.09747,-157.91231,-178.7794,-131.16077,-58.5859,-178.01932
4007,-163.09747,-157.91231,-178.7794,-131.16077,-58.5859,-178.01932
4008,-162.84798,-158.41425,-178.67435,-130.96013,-58.77212,-177.9147
4009,-162.84798,-158.41425,-178.67435,-130.96013,-58.77212,-177.9147
4010,-162.84798,-158.41425,-178.67435,-130.96013,-58.77212,-177.9147
4011,-162.84798,-158.41425,-178.67435,-130.96013,-58.77212,-177.9147
4012,-163.89487,-161.45067,-178.00139,-131.80202,-59.89864,-177.2446
4013,-163.89487,-161.45067,-178.00139,-131.80202,-59.89864,-177.2446
4014,-163.89487,-161.45067,-178.00139,-131.80202,-59.89864,-177.2446
4015,-163.89487,-161.45067,-178.00139,-131.80202,-59.89864,-177.2446
4016,-165.49435,-166.86063,-176.8848,-133.08832,-61.90575,-176.13277
4017,-165.49435,-166.86063,-176.8848,-133.08832,-61.90575,-176.13277
4018,-165.49435,-166.86063,-176.8848,-133.08832,-61.90575,-176.13277
4019,-165.49435,-166.86063,-176.8848,-133.08832,-61.90575,-176.13277
4020,-167.28441,-174.34303,-175.47141,-134.52785,-64.68174,-174.72539
4021,-167.28441,-174.34303,-175.47141,-134.52785,-64.68174,-174.72539
4022,-167.28441,-174.34303,-175.47141,-134.52785,-64.68174,-174.72539
4023,-167.28441,-174.34303,-175.47141,-134.52785,-64.68174,-174.72539
4024,-168.90295,-183.59679,-173.90805,-135.82947,-68.11491,-173.16867
4025,-168.90295,-183.59679,-173.90805,-135.82947,-68.11491,-173.16867
4026,-168.90295,-183.59679,-173.90805,-135.82947,-68.11491,-173.16867
4027,-168.90295,-183.59679,-173.90805,-135.82947,-68.11491,-173.16867
4028,-169.98795,-194.3208,-172.34154,-136.70201,-72.09355,-171.60883
4029,-169.98795,-194.3208,-172.34154,-136.70201,-72.09355,-171.60883
4030,-169.98795,-194.3208,-172.34154,-136.70201,-72.09355,-171.60883
4031,-169.98795,-194.3208,-172.34154,-136.70201,-72.09355,-171.60883
4032,-170.17207,-207.74345,-170.91885,-136.85007,-77.07339,-170.19218
4033,-170.17207,-207.74345,-170.91885,-136.85007,-77.07339,-170.19218
4034,-170.17207,-207.74345,-170.91885,-136.85007,-77.07339,-170.19218
4035,-170.17207,-207.74345,-170.91885,-136.85007,-77.07339,-170.19218
4036,-169.15706,-242.44675,-169.69527,-136.03381,-89.94841,-168.9738
4037,-169.15706,-242.44675,-169.69527,-136.03381,-89.94841,-168.9738
4038,-169.15706,-242.44675,-169.69527,-136.03381,-89.94841,-168.9738
4039,-169.15706,-242.44675,-169.69527,-136.03381,-89.94841,-168.9738
4040,-167.00188,-295.46335,-168.51939,-134.30064,-109.61771,-167.80293
4041,-167.00188,-295.46335,-168.51939,-134.30064,-109.61771,-167.80293
4042,-167.00188,-295.46335,-168.51939,-134.30064,-109.61771,-167.80293
4043,-167.00188,-295.46335,-168.51939,-134.30064,-109.61771,-167.80293
4044,-163.82788,-355.81271,-167.21391,-131.74817,-132.00749,-166.50299
4045,-163.82788,-355.81271,-167.21391,-131.74817,-132.00749,-166.50299
4046,-163.82788,-355.81271,-167.21391,-131.74817,-132.00749,-166.50299
4047,-163.82788,-355.81271,-167.21391,-131.74817,-132.00749,-166.50299
4048,-159.7565,-412.51434,-165.60149,-128.47401,-153.04396,-164.89743
4049,-159.7565,-412.51434,-165.60149,-128.47401,-153.04396,-164.89743
4050,-159.7565,-412.51434,-165.60149,-128.47401,-153.04396,-164.89743
