,T_ALLT2_Pa_ref  ,T_ALLT2_Pb_ref  ,T_ALLT2_Pc_ref  ,T_ALLT2_Qa_ref  ,T_ALLT2_Qb_ref  ,T_ALLT2_Qc_ref  
1655,-338.39771,-311.92349,-283.44421,-165.4875,-174.96359,-208.4337
1656,-338.39771,-311.92349,-283.44421,-165.4875,-174.96359,-208.4337
1657,-328.27521,-311.5325,-269.20859,-160.40601,-172.14079,-198.1864
1658,-328.27521,-311.5325,-269.20859,-160.40601,-172.14079,-198.1864
1659,-328.27521,-311.5325,-269.20859,-160.40601,-172.14079,-198.1864
1660,-328.27521,-311.5325,-269.20859,-160.40601,-172.14079,-198.1864
1661,-318.79001,-311.47351,-256.32089,-155.71519,-169.6658,-188.93851
1662,-318.79001,-311.47351,-256.32089,-155.71519,-169.6658,-188.93851
1663,-318.79001,-311.47351,-256.32089,-155.71519,-169.6658,-188.93851
1664,-318.79001,-311.47351,-256.32089,-155.71519,-169.6658,-188.93851
1665,-318.79001,-311.47351,-256.32089,-155.71519,-169.6658,-188.93851
1666,-310.2684,-311.54239,-245.23911,-151.55341,-167.4868,-181.0078
1667,-310.2684,-311.54239,-245.23911,-151.55341,-167.4868,-181.0078
1668,-310.2684,-311.54239,-245.23911,-151.55341,-167.4868,-181.0078
1669,-310.2684,-311.54239,-245.23911,-151.55341,-167.4868,-181.0078
1670,-303.0372,-311.53479,-236.4214,-148.0585,-165.5519,-174.7117
1671,-303.0372,-311.53479,-236.4214,-148.0585,-165.5519,-174.7117
1672,-303.0372,-311.53479,-236.4214,-148.0585,-165.5519,-174.7117
1673,-303.0372,-311.53479,-236.4214,-148.0585,-165.5519,-174.7117
1674,-297.42279,-311.2467,-230.326,-145.3689,-163.8094,-170.3679
1675,-297.42279,-311.2467,-230.326,-145.3689,-163.8094,-170.3679
1676,-297.42279,-311.2467,-230.326,-145.3689,-163.8094,-170.3679
1677,-297.42279,-311.2467,-230.326,-145.3689,-163.8094,-170.3679
1678,-293.75189,-310.47391,-227.41119,-143.6227,-162.2074,-168.29401
1679,-293.75189,-310.47391,-227.41119,-143.6227,-162.2074,-168.29401
1680,-293.75189,-310.47391,-227.41119,-143.6227,-162.2074,-168.29401
1681,-293.75189,-310.47391,-227.41119,-143.6227,-162.2074,-168.29401
1682,-291.97409,-309.565,-230.75729,-142.81841,-160.907,-171.355
1683,-291.97409,-309.565,-230.75729,-142.81841,-160.907,-171.355
1684,-291.97409,-309.565,-230.75729,-142.81841,-160.907,-171.355
1685,-291.97409,-309.565,-230.75729,-142.81841,-160.907,-171.355
1686,-290.97629,-309.8457,-246.3082,-142.52451,-160.3884,-185.41679
1687,-290.97629,-309.8457,-246.3082,-142.52451,-160.3884,-185.41679
1688,-290.97629,-309.8457,-246.3082,-142.52451,-160.3884,-185.41679
1689,-290.97629,-309.8457,-246.3082,-142.52451,-160.3884,-185.41679
1690,-290.40729,-310.8927,-269.8035,-142.5522,-160.39751,-206.67171
1691,-290.40729,-310.8927,-269.8035,-142.5522,-160.39751,-206.67171
1692,-290.40729,-310.8927,-269.8035,-142.5522,-160.39751,-206.67171
1693,-290.40729,-310.8927,-269.8035,-142.5522,-160.39751,-206.67171
1694,-289.98639,-312.15948,-296.33551,-142.7375,-160.6302,-230.6906
1695,-289.98639,-312.15948,-296.33551,-142.7375,-160.6302,-230.6906
1696,-289.98639,-312.15948,-296.33551,-142.7375,-160.6302,-230.6906
1697,-289.98639,-312.15948,-296.33551,-142.7375,-160.6302,-230.6906
1698,-289.4325,-313.0994,-320.99609,-142.9164,-160.78281,-253.0442
1699,-289.4325,-313.0994,-320.99609,-142.9164,-160.78281,-253.0442
1700,-289.4325,-313.0994,-320.99609,-142.9164,-160.78281,-253.0442
1701,-289.4325,-313.0994,-320.99609,-142.9164,-160.78281,-253.0442
1702,-288.465,-313.1658,-338.8775,-142.92509,-160.55119,-269.3035
1703,-288.465,-313.1658,-338.8775,-142.92509,-160.55119,-269.3035
1704,-288.465,-313.1658,-338.8775,-142.92509,-160.55119,-269.3035
1705,-288.465,-313.1658,-338.8775,-142.92509,-160.55119,-269.3035
1706,-286.72339,-311.08209,-346.0798,-142.58771,-159.3326,-275.94931
1707,-286.72339,-311.08209,-346.0798,-142.58771,-159.3326,-275.94931
1708,-286.72339,-311.08209,-346.0798,-142.58771,-159.3326,-275.94931
1709,-286.72339,-311.08209,-346.0798,-142.58771,-159.3326,-275.94931
1710,-283.37921,-299.8905,-350.12311,-141.72929,-154.24519,-279.76849
1711,-283.37921,-299.8905,-350.12311,-141.72929,-154.24519,-279.76849
1712,-283.37921,-299.8905,-350.12311,-141.72929,-154.24519,-279.76849
1713,-283.37921,-299.8905,-350.12311,-141.72929,-154.24519,-279.76849
1714,-278.8454,-281.2941,-353.6803,-140.4962,-146.05119,-283.17191
1715,-278.8454,-281.2941,-353.6803,-140.4962,-146.05119,-283.17191
1716,-278.8454,-281.2941,-353.6803,-140.4962,-146.05119,-283.17191
1717,-278.8454,-281.2941,-353.6803,-140.4962,-146.05119,-283.17191
1718,-273.83429,-259.45419,-356.7908,-139.0938,-136.5304,-286.1925
1719,-273.83429,-259.45419,-356.7908,-139.0938,-136.5304,-286.1925
1720,-273.83429,-259.45419,-356.7908,-139.0938,-136.5304,-286.1925
1721,-269.05829,-259.45419,-356.7908,-139.0938,-136.5304,-286.1925
1722,-269.05829,-238.5321,-359.4938,-137.72749,-127.4625,-288.86331
1723,-269.05829,-238.5321,-359.4938,-137.72749,-127.4625,-288.86331
1724,-269.05829,-238.5321,-359.4938,-137.72749,-127.4625,-288.86331
1725,-269.05829,-238.5321,-359.4938,-137.72749,-127.4625,-288.86331
1726,-265.22961,-222.68919,-361.82849,-136.60249,-120.6272,-291.2175
1727,-265.22961,-222.68919,-361.82849,-136.60249,-120.6272,-291.2175
1728,-265.22961,-222.68919,-361.82849,-136.60249,-120.6272,-291.2175
1729,-265.22961,-222.68919,-361.82849,-136.60249,-120.6272,-291.2175
1730,-263.0943,-216.07201,-363.83301,-135.9366,-117.7984,-293.28809
1731,-263.0943,-216.07201,-363.83301,-135.9366,-117.7984,-293.28809
1732,-263.0943,-216.07201,-363.83301,-135.9366,-117.7984,-293.28809
1733,-274.96851,-216.06841,-365.13409,-140.20689,-118.0567,-295.0968
1734,-274.96851,-216.06841,-365.13409,-140.20689,-118.0567,-295.0968
1735,-274.96851,-216.06841,-365.13409,-140.20689,-118.0567,-295.0968
1736,-274.96851,-216.06841,-365.13409,-140.20689,-118.0567,-295.0968
1737,-304.6275,-217.90669,-365.634,-150.83929,-119.4245,-296.67459
1738,-304.6275,-217.90669,-365.634,-150.83929,-119.4245,-296.67459
1739,-304.6275,-217.90669,-365.634,-150.83929,-119.4245,-296.67459
1740,-304.6275,-217.90669,-365.634,-150.83929,-119.4245,-296.67459
1741,-343.62619,-220.8822,-365.65781,-164.8011,-121.46,-298.065
1742,-343.62619,-220.8822,-365.65781,-164.8011,-121.46,-298.065
1743,-343.62619,-220.8822,-365.65781,-164.8011,-121.46,-298.065
1744,-343.62619,-220.8822,-365.65781,-164.8011,-121.46,-298.065
1745,-343.62619,-220.8822,-365.65781,-164.8011,-121.46,-298.065
1746,-383.51941,-224.28979,-365.53009,-179.0594,-123.7214,-299.31171
1747,-383.51941,-224.28979,-365.53009,-179.0594,-123.7214,-299.31171
1748,-383.51941,-224.28979,-365.53009,-179.0594,-123.7214,-299.31171
1749,-383.51941,-224.28979,-365.53009,-179.0594,-123.7214,-299.31171
1750,-415.86221,-227.42461,-365.57571,-190.5815,-125.7667,-300.4584
1751,-415.86221,-227.42461,-365.57571,-190.5815,-125.7667,-300.4584
1752,-415.86221,-227.42461,-365.57571,-190.5815,-125.7667,-300.4584
1753,-415.86221,-227.42461,-365.57571,-190.5815,-125.7667,-300.4584
1754,-432.20941,-229.5818,-366.1196,-196.3345,-127.1542,-301.54849
1755,-432.20941,-229.5818,-366.1196,-196.3345,-127.1542,-301.54849
1756,-432.20941,-229.5818,-366.1196,-196.3345,-127.1542,-301.54849
1757,-432.20941,-229.5818,-366.1196,-196.3345,-127.1542,-301.54849
1758,-424.74521,-230.864,-362.5965,-193.3455,-127.8871,-298.13559
1759,-424.74521,-230.864,-362.5965,-193.3455,-127.8871,-298.13559
1760,-424.74521,-230.864,-362.5965,-193.3455,-127.8871,-298.13559
1761,-424.74521,-230.864,-362.5965,-193.3455,-127.8871,-298.13559
1762,-395.37869,-232.90289,-345.599,-181.98891,-128.8604,-281.6098
1763,-395.37869,-232.90289,-345.599,-181.98891,-128.8604,-281.6098
1764,-395.37869,-232.90289,-345.599,-181.98891,-128.8604,-281.6098
1765,-395.37869,-232.90289,-345.599,-181.98891,-128.8604,-281.6098
1766,-352.93939,-235.6311,-320.26901,-165.6373,-130.0798,-256.99399
1767,-352.93939,-235.6311,-320.26901,-165.6373,-130.0798,-256.99399
1768,-352.93939,-235.6311,-320.26901,-165.6373,-130.0798,-256.99399
1769,-352.93939,-235.6311,-320.26901,-165.6373,-130.0798,-256.99399
1770,-306.37741,-238.8848,-292.43579,-147.7301,-131.4986,-229.9483
1771,-306.37741,-238.8848,-292.43579,-147.7301,-131.4986,-229.9483
1772,-306.37741,-238.8848,-292.43579,-147.7301,-131.4986,-229.9483
1773,-306.37741,-238.8848,-292.43579,-147.7301,-131.4986,-229.9483
1774,-264.64291,-242.4996,-267.92871,-131.707,-133.0701,-206.1333
1775,-264.64291,-242.4996,-267.92871,-131.707,-133.0701,-206.1333
1776,-264.64291,-242.4996,-267.92871,-131.707,-133.0701,-206.1333
1777,-264.64291,-242.4996,-267.92871,-131.707,-133.0701,-206.1333
1778,-236.6859,-246.31171,-252.57671,-121.0075,-134.7477,-191.2092
1779,-236.6859,-246.31171,-252.57671,-121.0075,-134.7477,-191.2092
1780,-236.6859,-246.31171,-252.57671,-121.0075,-134.7477,-191.2092
1781,-236.6859,-246.31171,-252.57671,-121.0075,-134.7477,-191.2092
1782,-229.0773,-250.1555,-250.5392,-118.1673,-136.4809,-189.2204
1783,-229.0773,-250.1555,-250.5392,-118.1673,-136.4809,-189.2204
1784,-229.0773,-250.1555,-250.5392,-118.1673,-136.4809,-189.2204
1785,-229.0773,-250.1555,-250.5392,-118.1673,-136.4809,-189.2204
1786,-227.59911,-254.0202,-251.614,-117.7973,-138.2525,-190.3037
1787,-227.59911,-254.0202,-251.614,-117.7973,-138.2525,-190.3037
1788,-227.59911,-254.0202,-251.614,-117.7973,-138.2525,-190.3037
1789,-227.59911,-254.0202,-251.614,-117.7973,-138.2525,-190.3037
1790,-227.71581,-258.20111,-252.808,-118.1399,-140.183,-191.5531
1791,-227.71581,-258.20111,-252.808,-118.1399,-140.183,-191.5531
1792,-227.71581,-258.20111,-252.808,-118.1399,-140.183,-191.5531
1793,-227.71581,-258.20111,-252.808,-118.1399,-140.183,-191.5531
1794,-228.8589,-263.02399,-253.9503,-118.9401,-142.4106,-192.79179
1795,-228.8589,-263.02399,-253.9503,-118.9401,-142.4106,-192.79179
1796,-228.8589,-263.02399,-253.9503,-118.9401,-142.4106,-192.79179
1797,-228.8589,-263.02399,-253.9503,-118.9401,-142.4106,-192.79179
1798,-230.4595,-268.81409,-254.8701,-119.9429,-145.07381,-193.8429
1799,-230.4595,-268.81409,-254.8701,-119.9429,-145.07381,-193.8429
1800,-230.4595,-268.81409,-254.8701,-119.9429,-145.07381,-193.8429
1801,-231.94881,-268.81409,-254.8701,-119.9429,-145.07381,-193.8429
1802,-231.94881,-275.897,-255.39639,-120.8935,-148.3107,-194.5294
1803,-231.94881,-275.897,-255.39639,-120.8935,-148.3107,-194.5294
1804,-231.94881,-275.897,-255.39639,-120.8935,-148.3107,-194.5294
1805,-231.94881,-275.897,-255.39639,-120.8935,-148.3107,-194.5294
1806,-232.7802,-284.73999,-255.3333,-121.5503,-152.3212,-194.65131
1807,-232.7802,-284.73999,-255.3333,-121.5503,-152.3212,-194.65131
1808,-232.7802,-284.73999,-255.3333,-121.5503,-152.3212,-194.65131
1809,-234.6698,-308.92899,-252.18829,-121.5503,-152.3212,-194.65131
1810,-234.6698,-308.92899,-252.18829,-123.0287,-162.9931,-191.8698
1811,-234.6698,-308.92899,-252.18829,-123.0287,-162.9931,-191.8698
1812,-234.6698,-308.92899,-252.18829,-123.0287,-162.9931,-191.8698
1813,-238.3692,-350.70541,-245.5321,-125.7357,-181.28819,-185.7941
1814,-238.3692,-350.70541,-245.5321,-125.7357,-181.28819,-185.7941
1815,-238.3692,-350.70541,-245.5321,-125.7357,-181.28819,-185.7941
