,T_ALLT5_Pa_ref  ,T_ALLT5_Pb_ref  ,T_ALLT5_Pc_ref  ,T_ALLT5_Qa_ref  ,T_ALLT5_Qb_ref  ,T_ALLT5_Qc_ref  
1655,-212.85249,-153.10361,-203.2254,-147.0262,-149.1588,-123.1441
1656,-212.85249,-153.10361,-203.2254,-147.0262,-149.1588,-123.1441
1657,-201.8317,-156.7896,-194.578,-138.95911,-153.0822,-118.6971
1658,-201.8317,-156.7896,-194.578,-138.95911,-153.0822,-118.6971
1659,-201.8317,-156.7896,-194.578,-138.95911,-153.0822,-118.6971
1660,-201.8317,-156.7896,-194.578,-138.95911,-153.0822,-118.6971
1661,-191.53551,-160.60339,-186.87199,-131.439,-157.1024,-114.7967
1662,-191.53551,-160.60339,-186.87199,-131.439,-157.1024,-114.7967
1663,-191.53551,-160.60339,-186.87199,-131.439,-157.1024,-114.7967
1664,-191.53551,-160.60339,-186.87199,-131.439,-157.1024,-114.7967
1665,-191.53551,-160.60339,-186.87199,-131.439,-157.1024,-114.7967
1666,-182.2778,-164.37601,-180.3345,-124.7205,-161.04601,-111.5338
1667,-182.2778,-164.37601,-180.3345,-124.7205,-161.04601,-111.5338
1668,-182.2778,-164.37601,-180.3345,-124.7205,-161.04601,-111.5338
1669,-182.2778,-164.37601,-180.3345,-124.7205,-161.04601,-111.5338
1670,-174.3723,-167.9382,-175.1929,-119.0581,-164.7394,-108.999
1671,-174.3723,-167.9382,-175.1929,-119.0581,-164.7394,-108.999
1672,-174.3723,-167.9382,-175.1929,-119.0581,-164.7394,-108.999
1673,-174.3723,-167.9382,-175.1929,-119.0581,-164.7394,-108.999
1674,-168.1329,-171.12109,-171.67439,-114.7063,-168.00909,-107.2833
1675,-168.1329,-171.12109,-171.67439,-114.7063,-168.00909,-107.2833
1676,-168.1329,-171.12109,-171.67439,-114.7063,-168.00909,-107.2833
1677,-168.1329,-171.12109,-171.67439,-114.7063,-168.00909,-107.2833
1678,-163.8734,-173.75549,-170.0061,-111.9197,-170.68159,-106.4775
1679,-163.8734,-173.75549,-170.0061,-111.9197,-170.68159,-106.4775
1680,-163.8734,-173.75549,-170.0061,-111.9197,-170.68159,-106.4775
1681,-163.8734,-173.75549,-170.0061,-111.9197,-170.68159,-106.4775
1682,-161.55409,-176.19209,-172.3862,-110.6547,-173.0983,-108.4373
1683,-161.55409,-176.19209,-172.3862,-110.6547,-173.0983,-108.4373
1684,-161.55409,-176.19209,-172.3862,-110.6547,-173.0983,-108.4373
1685,-161.55409,-176.19209,-172.3862,-110.6547,-173.0983,-108.4373
1686,-160.12241,-179.6508,-183.3576,-110.0347,-176.47549,-117.2993
1687,-160.12241,-179.6508,-183.3576,-110.0347,-176.47549,-117.2993
1688,-160.12241,-179.6508,-183.3576,-110.0347,-176.47549,-117.2993
1689,-160.12241,-179.6508,-183.3576,-110.0347,-176.47549,-117.2993
1690,-159.2235,-183.65601,-200.0032,-109.7952,-180.36189,-130.7157
1691,-159.2235,-183.65601,-200.0032,-109.7952,-180.36189,-130.7157
1692,-159.2235,-183.65601,-200.0032,-109.7952,-180.36189,-130.7157
1693,-159.2235,-183.65601,-200.0032,-109.7952,-180.36189,-130.7157
1694,-158.56779,-187.61459,-218.9257,-109.7272,-184.1904,-145.9155
1695,-158.56779,-187.61459,-218.9257,-109.7272,-184.1904,-145.9155
1696,-158.56779,-187.61459,-218.9257,-109.7272,-184.1904,-145.9155
1697,-158.56779,-187.61459,-218.9257,-109.7272,-184.1904,-145.9155
1698,-157.8658,-190.9335,-236.7281,-109.622,-187.3934,-160.1273
1699,-157.8658,-190.9335,-236.7281,-109.622,-187.3934,-160.1273
1700,-157.8658,-190.9335,-236.7281,-109.622,-187.3934,-160.1273
1701,-157.8658,-190.9335,-236.7281,-109.622,-187.3934,-160.1273
1702,-156.828,-193.01939,-250.013,-109.2707,-189.4037,-170.5799
1703,-156.828,-193.01939,-250.013,-109.2707,-189.4037,-170.5799
1704,-156.828,-193.01939,-250.013,-109.2707,-189.4037,-170.5799
1705,-156.828,-193.01939,-250.013,-109.2707,-189.4037,-170.5799
1706,-155.19341,-192.7668,-256.09549,-108.489,-189.1403,-175.0789
1707,-155.19341,-192.7668,-256.09549,-108.489,-189.1403,-175.0789
1708,-155.19341,-192.7668,-256.09549,-108.489,-189.1403,-175.0789
1709,-155.19341,-192.7668,-256.09549,-108.489,-189.1403,-175.0789
1710,-153.10629,-185.2303,-260.29099,-107.4178,-181.6553,-177.92979
1711,-153.10629,-185.2303,-260.29099,-107.4178,-181.6553,-177.92979
1712,-153.10629,-185.2303,-260.29099,-107.4178,-181.6553,-177.92979
1713,-153.10629,-185.2303,-260.29099,-107.4178,-181.6553,-177.92979
1714,-150.73711,-171.83749,-264.36499,-106.1777,-168.3537,-180.59911
1715,-150.73711,-171.83749,-264.36499,-106.1777,-168.3537,-180.59911
1716,-150.73711,-171.83749,-264.36499,-106.1777,-168.3537,-180.59911
1717,-150.73711,-171.83749,-264.36499,-106.1777,-168.3537,-180.59911
1718,-148.19901,-155.77271,-268.20889,-104.8356,-152.3979,-183.03951
1719,-148.19901,-155.77271,-268.20889,-104.8356,-152.3979,-183.03951
1720,-148.19901,-155.77271,-268.20889,-104.8356,-152.3979,-183.03951
1721,-148.19901,-155.77271,-268.20889,-104.8356,-152.3979,-183.03951
1722,-145.6053,-140.22,-271.7142,-103.4587,-136.95,-185.2036
1723,-145.6053,-140.22,-271.7142,-103.4587,-136.95,-185.2036
1724,-145.6053,-140.22,-271.7142,-103.4587,-136.95,-185.2036
1725,-145.6053,-140.22,-271.7142,-103.4587,-136.95,-185.2036
1726,-143.06931,-128.36391,-274.77261,-102.114,-125.1723,-187.0442
1727,-143.06931,-128.36391,-274.77261,-102.114,-125.1723,-187.0442
1728,-143.06931,-128.36391,-274.77261,-102.114,-125.1723,-187.0442
1729,-143.06931,-128.36391,-274.77261,-102.114,-125.1723,-187.0442
1730,-140.7037,-123.3765,-277.27661,-100.8682,-120.2151,-188.5145
1731,-140.7037,-123.3765,-277.27661,-100.8682,-120.2151,-188.5145
1732,-140.7037,-123.3765,-277.27661,-100.8682,-120.2151,-188.5145
1733,-138.39751,-123.0067,-279.5817,-99.6667,-119.821,-189.836
1734,-138.39751,-123.0067,-279.5817,-99.6667,-119.821,-189.836
1735,-138.39751,-123.0067,-279.5817,-99.6667,-119.821,-189.836
1736,-138.39751,-123.0067,-279.5817,-99.6667,-119.821,-189.836
1737,-136.0518,-123.5461,-281.9469,-98.452,-120.2988,-191.1662
1738,-136.0518,-123.5461,-281.9469,-98.452,-120.2988,-191.1662
1739,-136.0518,-123.5461,-281.9469,-98.452,-120.2988,-191.1662
1740,-136.0518,-123.5461,-281.9469,-98.452,-120.2988,-191.1662
